GeneID,Hpb_1,Hpb_2,Hpb_3,Hpb_4,Hpb_5,Naive_1,Naive_2,Naive_3,Naive_4,Naive_5
MGP_BALBcJ_G0010361,168,167,114,301,183,162,190,138,84,124
MGP_BALBcJ_G0004771,0,0,2,0,5,2,0,0,0,0
MGP_BALBcJ_G0010355,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0015055,27,16,15,48,23,23,26,22,20,8
MGP_BALBcJ_G0016758,2,0,2,0,2,6,0,0,0,0
MGP_BALBcJ_G0015829,77,51,39,116,70,84,46,76,128,53
MGP_BALBcJ_G0004930,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0004870,0,2,0,0,0,2,0,0,0,0
MGP_BALBcJ_G0037151,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0016834,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0002634,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0010102,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0038399,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0005055,2,0,0,0,2,4,0,0,0,0
MGP_BALBcJ_G0016270,1363,831,907,189,834,689,646,859,397,745
MGP_BALBcJ_G0010399,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0000453,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0007580,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0004904,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0000632,2,0,2,0,0,0,0,0,0,0
MGP_BALBcJ_G0016510,334,533,389,677,646,430,279,352,906,394
MGP_BALBcJ_G0039876,1,6,7,0,5,1,3,4,0,2
MGP_BALBcJ_G0016876,49,67,55,0,59,52,80,58,0,46
MGP_BALBcJ_G0015958,528,450,498,1213,519,374,389,406,747,391
MGP_BALBcJ_G0000654,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0037157,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0000629,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0000605,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0004777,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0010400,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0004986,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0010274,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0016839,1471,1401,1279,3151,1351,1229,1241,1256,1850,1053
MGP_BALBcJ_G0010082,0,0,1,0,0,0,0,0,0,2
MGP_BALBcJ_G0002778,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0016159,19,13,23,25,28,12,22,22,0,32
MGP_BALBcJ_G0015783,58,14,48,36,32,20,34,32,70,56
MGP_BALBcJ_G0002629,1,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0016470,900,824,1251,86,835,674,799,819,36,588
MGP_BALBcJ_G0000577,0,2,0,0,4,4,2,0,22,0
MGP_BALBcJ_G0004928,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0000722,6,0,4,0,4,3,0,4,4,2
MGP_BALBcJ_G0015046,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0002647,2,0,0,0,4,0,1,1,0,0
MGP_BALBcJ_G0009943,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0016673,1443,1176,918,741,927,642,1203,879,336,889
MGP_BALBcJ_G0036483,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0037166,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0015930,31498,33671,22171,27537,25848,26911,19784,22431,15655,15567
MGP_BALBcJ_G0010388,0,0,0,28,6,4,0,1,0,2
MGP_BALBcJ_G0016352,2644,2179,2173,5140,2681,2654,2521,2482,3256,2514
MGP_BALBcJ_G0015973,45,28,44,6,32,26,45,17,68,38
MGP_BALBcJ_G0007628,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0000479,0,1,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0002617,0,0,0,0,0,0,4,0,0,0
MGP_BALBcJ_G0002703,54,58,56,46,61,38,34,20,50,48
MGP_BALBcJ_G0002757,0,1,0,0,0,0,0,2,0,0
MGP_BALBcJ_G0037181,0,0,0,0,0,0,0,1,0,0
MGP_BALBcJ_G0015926,1065,946,949,1988,1108,1042,1109,998,1112,907
MGP_BALBcJ_G0015981,677,478,624,1051,727,495,555,532,932,577
MGP_BALBcJ_G0016594,14,10,6,0,0,12,6,2,0,0
MGP_BALBcJ_G0002600,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0039882,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0010440,14,7,3,14,8,7,10,6,0,17
MGP_BALBcJ_G0039886,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0015038,2,2,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0010386,0,4,3,0,2,0,6,2,20,1
MGP_BALBcJ_G0004832,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0016463,4391,4835,3409,1623,4482,4495,4509,4445,734,3650
MGP_BALBcJ_G0000568,5,7,1,50,15,0,0,14,0,0
MGP_BALBcJ_G0004999,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0002726,0,0,0,0,0,1,0,0,0,0
MGP_BALBcJ_G0015745,1,4,6,0,2,0,0,0,0,0
MGP_BALBcJ_G0002789,5,5,15,0,5,12,10,11,0,5
MGP_BALBcJ_G0010376,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0000730,0,0,0,38,6,0,2,0,16,0
MGP_BALBcJ_G0005011,0,0,6,0,2,0,0,0,0,0
MGP_BALBcJ_G0005007,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0037109,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0000481,4,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0004887,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0016645,319,449,258,310,280,189,180,138,140,147
MGP_BALBcJ_G0016641,1663,1105,1508,2890,1201,1193,1128,1336,2127,1364
MGP_BALBcJ_G0000596,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0002761,0,0,1,0,0,2,4,0,0,0
MGP_BALBcJ_G0010097,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0005025,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0004776,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0000336,2,0,4,0,0,2,0,2,0,4
MGP_BALBcJ_G0010398,2,0,2,0,0,0,0,0,1,0
MGP_BALBcJ_G0016767,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0010429,18,11,7,26,14,11,16,5,20,20
MGP_BALBcJ_G0000573,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0010184,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0038416,0,0,2,0,0,0,0,0,0,0
MGP_BALBcJ_G0038423,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0010049,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0016274,2028,1369,1545,1364,1644,1522,1337,1577,780,1236
MGP_BALBcJ_G0010103,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0016604,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0016401,4,0,0,0,0,0,0,0,0,2
MGP_BALBcJ_G0016782,444,364,334,478,432,361,419,453,397,357
MGP_BALBcJ_G0015788,20,12,11,0,6,6,3,12,0,2
MGP_BALBcJ_G0039887,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0016221,6475,6636,6463,3463,7489,6126,6068,7270,1494,7093
MGP_BALBcJ_G0038391,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0002736,5,1,6,40,2,0,5,10,0,4
MGP_BALBcJ_G0016216,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0002797,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0016181,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0016763,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0015980,1331,1004,617,1611,914,886,739,819,978,732
MGP_BALBcJ_G0000306,0,0,0,0,0,0,0,6,2,6
MGP_BALBcJ_G0016034,552,602,468,393,529,533,586,436,301,475
MGP_BALBcJ_G0005014,230,195,245,470,264,161,203,247,317,174
MGP_BALBcJ_G0038422,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0007607,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0000633,0,4,2,0,6,2,3,0,34,4
MGP_BALBcJ_G0015059,2,3,6,0,2,4,3,2,0,4
MGP_BALBcJ_G0037116,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0002738,1,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0010115,0,2,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0002570,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0000574,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0016293,34,12,24,0,26,14,30,28,0,18
MGP_BALBcJ_G0010155,30,16,42,48,16,24,12,26,40,12
MGP_BALBcJ_G0000372,443,232,351,413,194,230,220,227,176,220
MGP_BALBcJ_G0004914,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0016103,196,188,181,43,200,150,204,192,6,148
MGP_BALBcJ_G0016435,451,247,398,123,317,283,483,358,8,269
MGP_BALBcJ_G0010417,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0015791,2136,1958,1765,4289,2057,1862,1760,1654,1700,1292
MGP_BALBcJ_G0016466,192,213,148,53,147,185,157,175,33,136
MGP_BALBcJ_G0000374,59,35,17,42,30,19,33,26,2,17
MGP_BALBcJ_G0015759,5271,4327,4392,15435,4898,4110,4668,4449,11687,4872
MGP_BALBcJ_G0010113,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0010009,1,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0036494,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0016710,60,34,115,108,50,67,88,45,63,42
MGP_BALBcJ_G0002637,1,0,0,0,0,0,0,0,19,0
MGP_BALBcJ_G0002697,3,0,4,0,0,3,0,7,0,0
MGP_BALBcJ_G0010089,4,5,12,0,16,2,6,9,6,0
MGP_BALBcJ_G0016530,1371,989,1173,1224,745,745,963,871,488,852
MGP_BALBcJ_G0037146,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0010347,0,0,0,0,0,0,0,0,0,2
MGP_BALBcJ_G0015870,156,107,194,0,70,99,153,115,12,83
